name,dram_ifmap,dram_ofmap,dram_filter,sram_read,sram_write,MACs,total
Conv1,29837400,19713600,86400,3936450,839788,332667,54746305
Conv2,80281600,605000,2736000,9340920,7079610,3484800,103527930
Conv3,80281600,40140800,204800,4816896,1213696,401408,127059200
Conv4,161203200,151250,1382400,3864180,3540336,1742400,171883766
Conv5,40140800,20070400,819200,1597440,817536,200704,63646080
Conv6,80281600,145800,2649600,6720552,6824862,3359232,99981646
Conv7,80281600,20070400,1638400,1597440,1634816,401408,105624064
Conv8,77440000,36450,691200,1630260,1707372,839808,82345090
Conv9,20070400,10035200,3276800,598528,664832,100352,34746112
Conv10,40140800,33800,1382400,3020112,3170520,1557504,49305136
Conv11,40140800,10035200,6707200,1197056,1329664,200704,59610624
Conv12,37324800,8450,460800,656424,797256,389376,39637106
Conv13,10035200,5017600,13132800,485440,629760,50176,29350976
Conv14,20070400,7200,921600,1208448,1364112,663552,24235312
Conv15,20070400,5017600,26265600,970880,1259520,100352,53684352
Conv16,20070400,7200,921600,1208448,1364112,663552,24235312
Conv17,20070400,5017600,26265600,970880,1259520,100352,53684352
Conv18,20070400,7200,921600,1208448,1364112,663552,24235312
Conv19,20070400,5017600,26265600,970880,1259520,100352,53684352
Conv20,20070400,7200,921600,1208448,1364112,663552,24235312
Conv21,20070400,5017600,26265600,970880,1259520,100352,53684352
Conv22,20070400,7200,921600,1208448,1364112,663552,24235312
Conv23,20070400,5017600,26265600,970880,1259520,100352,53684352
Conv24,17305600,1800,460800,95904,350280,165888,18380272
Conv25,5017600,2508800,52428800,420616,1107968,25088,61508872
Conv26,10035200,450,921600,12960,202896,82944,11256050
Conv27,10035200,2508800,104857600,841232,2215936,50176,120508944
final,0,0,0,0,0,0,1622716493
