Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	4704.0,	44132.0,	394272,	135.0,	7174.0,	1968225,	0.0,	7114.0,	419894,	
Conv2,	-40141.0,	-1.0,	401408,	-2736.0,	-1.0,	27360,	91021.0,	92230.0,	12100,	256.0,	91020.0,	4670460,	0.0,	90920.0,	3539805,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	2808.0,	36277.0,	802816,	160.0,	8711.0,	2408448,	0.0,	8551.0,	606848,	
Conv4,	-52429.0,	25611.0,	806016,	-1383.0,	-1.0,	13824,	42774.0,	43076.0,	3025,	256.0,	42773.0,	1932090,	0.0,	42628.0,	1770168,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	3576.0,	43718.0,	401408,	192.0,	5683.0,	798720,	0.0,	5555.0,	408768,	
Conv6,	-40141.0,	-1.0,	401408,	-2650.0,	-1.0,	26496,	79237.0,	79528.0,	2916,	256.0,	79236.0,	3360276,	0.0,	79008.0,	3412431,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	8176.0,	48318.0,	401408,	256.0,	12711.0,	798720,	0.0,	12519.0,	817408,	
Conv8,	-38720.0,	-1.0,	387200,	-692.0,	-1.0,	6912,	20386.0,	20458.0,	729,	256.0,	20385.0,	815130,	0.0,	20168.0,	853686,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	4362.0,	24432.0,	200704,	256.0,	4361.0,	299264,	0.0,	4217.0,	332416,	
Conv10,	-20071.0,	-1.0,	200704,	-1383.0,	-1.0,	13824,	39817.0,	39884.0,	676,	256.0,	39816.0,	1510056,	0.0,	39652.0,	1585260,	
Conv11,	-20071.0,	-1.0,	200704,	-6708.0,	-1.0,	67072,	8723.0,	28793.0,	200704,	256.0,	8722.0,	598528,	0.0,	8578.0,	664832,	
Conv12,	-18663.0,	-1.0,	186624,	-461.0,	-1.0,	4608,	12259.0,	12275.0,	169,	256.0,	12258.0,	328212,	0.0,	12089.0,	398628,	
Conv13,	-5018.0,	-1.0,	50176,	-13133.0,	-1.0,	131328,	3461.0,	13496.0,	100352,	256.0,	3460.0,	242720,	0.0,	3264.0,	314880,	
Conv14,	-10036.0,	-1.0,	100352,	-922.0,	-1.0,	9216,	23617.0,	23631.0,	144,	256.0,	23616.0,	604224,	0.0,	23472.0,	682056,	
Conv15,	-10036.0,	-1.0,	100352,	-26266.0,	-1.0,	262656,	6921.0,	16956.0,	100352,	256.0,	6920.0,	485440,	0.0,	6724.0,	629760,	
Conv16,	-10036.0,	-1.0,	100352,	-922.0,	-1.0,	9216,	23617.0,	23631.0,	144,	256.0,	23616.0,	604224,	0.0,	23472.0,	682056,	
Conv17,	-10036.0,	-1.0,	100352,	-26266.0,	-1.0,	262656,	6921.0,	16956.0,	100352,	256.0,	6920.0,	485440,	0.0,	6724.0,	629760,	
Conv18,	-10036.0,	-1.0,	100352,	-922.0,	-1.0,	9216,	23617.0,	23631.0,	144,	256.0,	23616.0,	604224,	0.0,	23472.0,	682056,	
Conv19,	-10036.0,	-1.0,	100352,	-26266.0,	-1.0,	262656,	6921.0,	16956.0,	100352,	256.0,	6920.0,	485440,	0.0,	6724.0,	629760,	
Conv20,	-10036.0,	-1.0,	100352,	-922.0,	-1.0,	9216,	23617.0,	23631.0,	144,	256.0,	23616.0,	604224,	0.0,	23472.0,	682056,	
Conv21,	-10036.0,	-1.0,	100352,	-26266.0,	-1.0,	262656,	6921.0,	16956.0,	100352,	256.0,	6920.0,	485440,	0.0,	6724.0,	629760,	
Conv22,	-10036.0,	-1.0,	100352,	-922.0,	-1.0,	9216,	23617.0,	23631.0,	144,	256.0,	23616.0,	604224,	0.0,	23472.0,	682056,	
Conv23,	-10036.0,	-1.0,	100352,	-26266.0,	-1.0,	262656,	6921.0,	16956.0,	100352,	256.0,	6920.0,	485440,	0.0,	6724.0,	629760,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	10513.0,	10516.0,	36,	256.0,	10512.0,	47952,	0.0,	10348.0,	175140,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	5313.0,	10330.0,	50176,	256.0,	5312.0,	210308,	0.0,	5135.0,	553984,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	19081.0,	19081.0,	9,	256.0,	19080.0,	6480,	0.0,	18943.0,	101448,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	5405.0,	1048576,	10625.0,	15642.0,	50176,	256.0,	10624.0,	420616,	0.0,	10447.0,	1107968,	
