name,dram_ifmap,dram_ofmap,dram_filter,sram_read,sram_write,MACs,total
Conv1,29837400,19713600,86400,788544,840116,10584669,61850729
Conv2,80281600,605000,28800,24200,7079174,3482522,91501296
Conv3,80281600,40140800,204800,1605632,1210750,25340608,148784190
Conv4,161001600,151250,57600,6050,3542400,1742400,166501300
Conv5,40140800,20070400,819200,802816,814462,25253248,87900926
Conv6,80281600,145800,115200,5832,6824646,3354282,90727360
Conv7,80281600,20070400,1638400,802816,1628670,50987040,155408926
Conv8,77440000,36450,115200,1458,1707440,835892,80136440
Conv9,20070400,10035200,3276800,401408,863998,25339928,59987734
Conv10,40140800,33800,230400,1352,3170374,1556874,45133600
Conv11,40140800,10035200,6553600,401408,1727742,51030040,109888790
Conv12,37324800,8450,230400,338,797264,388556,38749808
Conv13,10035200,5017600,13107200,200704,930046,25288214,54578964
Conv14,20070400,7200,460800,288,1363998,663432,22566118
Conv15,20070400,5017600,26214400,200704,1859838,50978326,104341268
Conv16,20070400,7200,460800,288,1363998,663432,22566118
Conv17,20070400,5017600,26214400,200704,1859838,50978326,104341268
Conv18,20070400,7200,460800,288,1363998,663432,22566118
Conv19,20070400,5017600,26214400,200704,1859838,50978326,104341268
Conv20,20070400,7200,460800,288,1363998,663432,22566118
Conv21,20070400,5017600,26214400,200704,1859838,50978326,104341268
Conv22,20070400,7200,460800,288,1363998,663432,22566118
Conv23,20070400,5017600,26214400,200704,1859838,50978326,104341268
Conv24,17305600,1800,460800,72,350278,165258,18283808
Conv25,5017600,2508800,52428800,100352,1458430,25403168,86917150
Conv26,10035200,450,921600,18,202768,82908,11242944
Conv27,10035200,2508800,104857600,100352,2916606,51093280,171511838
final,0,0,0,0,0,0,2113642733
