Layer,	Cycles,	% Utilization, MACs
Conv1,	12379,	23.760092911715013,	10584669,
Conv2,	27428,	0.7749891508880392,	3482522,
Conv3,	12639,	47.400182922157526,	25340608,
Conv4,	14400,	0.738525390625,	1742400,
Conv5,	3327,	89.24933048639258,	25253248,
Conv6,	26596,	0.7698030681577834,	3354282,
Conv7,	3391,	93.53778037646528,	50987040,
Conv8,	7001,	0.7288399832589286,	835892,
Conv9,	1920,	80.59543850149818,	25339928,
Conv10,	13860,	0.6856486604485352,	1556874,
Conv11,	3712,	83.92957329139719,	51030040,
Conv12,	4649,	0.5102318453501506,	388556,
Conv13,	2175,	70.96414219647988,	25288214,
Conv14,	9232,	0.4386596878046799,	663432,
Conv15,	4223,	73.6791402503774,	50978326,
Conv16,	9232,	0.4386596878046799,	663432,
Conv17,	4223,	73.6791402503774,	50978326,
Conv18,	9232,	0.4386596878046799,	663432,
Conv19,	4223,	73.6791402503774,	50978326,
Conv20,	9232,	0.4386596878046799,	663432,
Conv21,	4223,	73.6791402503774,	50978326,
Conv22,	9232,	0.4386596878046799,	663432,
Conv23,	4223,	73.6791402503774,	50978326,
Conv24,	4644,	0.21724203858631275,	165258,
Conv25,	4223,	36.71528127219986,	25403168,
Conv26,	9225,	0.05486017708559194,	82908,
Conv27,	8319,	37.48631239481909,	51093280,
