name,dram_ifmap,dram_ofmap,dram_filter,sram_read,sram_write,MACs,total
Conv1,29837400,19713600,86400,788544,691758,864,51118566
Conv2,80281600,605000,28800,72600,7043352,288,88031640
Conv3,80281600,40140800,204800,1605632,832064,2048,123066944
Conv4,249625600,151250,57600,30250,3581264,576,253446540
Conv5,40140800,20070400,819200,802816,424192,8192,62265600
Conv6,80281600,145800,115200,52488,6775560,1152,87371800
Conv7,80281600,20070400,1638400,802816,842112,16384,103651712
Conv8,60902400,36450,115200,13122,1760040,1152,62828364
Conv9,20070400,10035200,3276800,401408,470592,32768,34287168
Conv10,40140800,33800,230400,24336,3148560,2304,43580200
Conv11,40140800,10035200,6553600,802816,941184,65536,58539136
Conv12,30771200,8450,230400,6084,854424,2304,31872862
Conv13,10035200,5017600,13107200,401408,668736,131072,29361216
Conv14,20070400,7200,460800,10368,1355904,4608,21909280
Conv15,20070400,5017600,26214400,802816,1337472,262144,53704832
Conv16,20070400,7200,460800,10368,1355904,4608,21909280
Conv17,20070400,5017600,26214400,802816,1337472,262144,53704832
Conv18,20070400,7200,460800,10368,1355904,4608,21909280
Conv19,20070400,5017600,26214400,802816,1337472,262144,53704832
Conv20,20070400,7200,460800,10368,1355904,4608,21909280
Conv21,20070400,5017600,26214400,802816,1337472,262144,53704832
Conv22,20070400,7200,460800,10368,1355904,4608,21909280
Conv23,20070400,5017600,26214400,802816,1337472,262144,53704832
Conv24,15667200,1800,460800,2592,408528,4608,16545528
Conv25,5017600,2508800,52428800,401408,1461312,524288,62342208
Conv26,10035200,450,921600,1296,204048,9216,11171810
Conv27,10035200,2508800,104857600,802816,2922624,1048576,122175616
1619727470
