Layer,	Cycles,	% Utilization, MACs
Conv1,	12407,	5.2734375,	864,
Conv2,	36879,	0.5879711777027576,	288,
Conv3,	12672,	12.5,	2048,
Conv4,	16282,	0.7055817006510257,	576,
Conv5,	3392,	50.0,	8192,
Conv6,	28557,	0.78125,	1152,
Conv7,	3520,	100.0,	16384,
Conv8,	8874,	0.78125,	1152,
Conv9,	2336,	100.0,	32768,
Conv10,	16794,	0.78125,	2304,
Conv11,	4672,	100.0,	65536,
Conv12,	7668,	0.78125,	2304,
Conv13,	4640,	100.0,	131072,
Conv14,	14436,	0.78125,	4608,
Conv15,	9280,	100.0,	262144,
Conv16,	14436,	0.78125,	4608,
Conv17,	9280,	100.0,	262144,
Conv18,	14436,	0.78125,	4608,
Conv19,	9280,	100.0,	262144,
Conv20,	14436,	0.78125,	4608,
Conv21,	9280,	100.0,	262144,
Conv22,	14436,	0.78125,	4608,
Conv23,	9280,	100.0,	262144,
Conv24,	10548,	0.78125,	4608,
Conv25,	13856,	100.0,	524288,
Conv26,	19152,	0.78125,	9216,
Conv27,	27712,	100.0,	1048576,
