Layer,	Cycles,	% Utilization,
Conv1,	7174,	83.07662551237541,
Conv2,	91020,	84.66906311799605,
Conv3,	8711,	98.35265755940765,
Conv4,	42773,	91.62593261227877,
Conv5,	5683,	95.79007566426183,
Conv6,	79236,	99.11545888232621,
Conv7,	12711,	98.24168043426953,
Conv8,	20385,	95.35906456953643,
Conv9,	4361,	89.42616372391653,
Conv10,	39816,	90.51198010849909,
Conv11,	8722,	89.42616372391653,
Conv12,	12258,	70.35724118942731,
Conv13,	3460,	77.3753612716763,
Conv14,	23616,	63.71951219512195,
Conv15,	6920,	77.3753612716763,
Conv16,	23616,	63.71951219512195,
Conv17,	6920,	77.3753612716763,
Conv18,	23616,	63.71951219512195,
Conv19,	6920,	77.3753612716763,
Conv20,	23616,	63.71951219512195,
Conv21,	6920,	77.3753612716763,
Conv22,	23616,	63.71951219512195,
Conv23,	6920,	77.3753612716763,
Conv24,	10512,	28.125,
Conv25,	5312,	38.28125,
Conv26,	19080,	7.03125,
Conv27,	10624,	38.28125,
