Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	29952.0,	69380.0,	394272,	54.0,	45131.0,	788513,	0.0,	45103.0,	688945,	
Conv2,	-40141.0,	-1.0,	401408,	-10916.0,	-1.0,	109152,	327205.0,	328414.0,	12100,	64.0,	327204.0,	3592692,	0.0,	327168.0,	3706515,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	20352.0,	88908.0,	802816,	64.0,	62328.0,	1204224,	0.0,	62264.0,	1241856,	
Conv4,	-52429.0,	89279.0,	792128,	-5472.0,	-1.0,	54720,	163891.0,	164193.0,	3025,	64.0,	163890.0,	1792260,	0.0,	163841.0,	1853550,	
Conv5,	-20071.0,	-1.0,	200704,	-1440.0,	-1.0,	14400,	28321.0,	68872.0,	405503,	64.0,	43708.0,	1003520,	0.0,	43644.0,	1034880,	
Conv6,	-40141.0,	-1.0,	401408,	-10599.0,	-1.0,	105984,	316945.0,	317236.0,	2916,	64.0,	316944.0,	3460176,	0.0,	316908.0,	3574512,	
Conv7,	-40141.0,	-1.0,	401408,	-2880.0,	-1.0,	28800,	56419.0,	101752.0,	405503,	64.0,	87416.0,	2007040,	0.0,	87352.0,	2069760,	
Conv8,	-38720.0,	-1.0,	387200,	-2650.0,	-1.0,	26496,	79237.0,	79309.0,	729,	64.0,	79236.0,	859752,	0.0,	79179.0,	893628,	
Conv9,	-10036.0,	-1.0,	100352,	-3584.0,	-1.0,	35840,	35037.0,	55107.0,	200704,	64.0,	35036.0,	902144,	0.0,	34988.0,	948352,	
Conv10,	-20071.0,	-1.0,	200704,	-5069.0,	-1.0,	50688,	150049.0,	150116.0,	676,	64.0,	150048.0,	1598112,	0.0,	150012.0,	1660464,	
Conv11,	-20071.0,	-1.0,	200704,	-7168.0,	-1.0,	71680,	70073.0,	90143.0,	200704,	64.0,	70072.0,	1804288,	0.0,	70024.0,	1896704,	
Conv12,	-18663.0,	-1.0,	186624,	-1383.0,	-1.0,	13824,	39817.0,	39833.0,	169,	64.0,	39816.0,	386640,	0.0,	39775.0,	417456,	
Conv13,	-5018.0,	-1.0,	50176,	-13261.0,	-1.0,	132608,	33769.0,	43804.0,	100352,	64.0,	33768.0,	852096,	0.0,	33732.0,	998144,	
Conv14,	-10036.0,	-1.0,	100352,	-2304.0,	-1.0,	23040,	66817.0,	66831.0,	144,	64.0,	66816.0,	647424,	0.0,	66768.0,	710352,	
Conv15,	-10036.0,	-1.0,	100352,	-26522.0,	-1.0,	265216,	67537.0,	77572.0,	100352,	64.0,	67536.0,	1704192,	0.0,	67500.0,	1996288,	
Conv16,	-10036.0,	-1.0,	100352,	-2304.0,	-1.0,	23040,	66817.0,	66831.0,	144,	64.0,	66816.0,	647424,	0.0,	66768.0,	710352,	
Conv17,	-10036.0,	-1.0,	100352,	-26522.0,	-1.0,	265216,	67537.0,	77572.0,	100352,	64.0,	67536.0,	1704192,	0.0,	67500.0,	1996288,	
Conv18,	-10036.0,	-1.0,	100352,	-2304.0,	-1.0,	23040,	66817.0,	66831.0,	144,	64.0,	66816.0,	647424,	0.0,	66768.0,	710352,	
Conv19,	-10036.0,	-1.0,	100352,	-26522.0,	-1.0,	265216,	67537.0,	77572.0,	100352,	64.0,	67536.0,	1704192,	0.0,	67500.0,	1996288,	
Conv20,	-10036.0,	-1.0,	100352,	-2304.0,	-1.0,	23040,	66817.0,	66831.0,	144,	64.0,	66816.0,	647424,	0.0,	66768.0,	710352,	
Conv21,	-10036.0,	-1.0,	100352,	-26522.0,	-1.0,	265216,	67537.0,	77572.0,	100352,	64.0,	67536.0,	1704192,	0.0,	67500.0,	1996288,	
Conv22,	-10036.0,	-1.0,	100352,	-2304.0,	-1.0,	23040,	66817.0,	66831.0,	144,	64.0,	66816.0,	647424,	0.0,	66768.0,	710352,	
Conv23,	-10036.0,	-1.0,	100352,	-26522.0,	-1.0,	265216,	67537.0,	77572.0,	100352,	64.0,	67536.0,	1704192,	0.0,	67500.0,	1996288,	
Conv24,	-8653.0,	-1.0,	86528,	-922.0,	-1.0,	9216,	23617.0,	23620.0,	36,	64.0,	23616.0,	154944,	0.0,	23580.0,	184608,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	18905.0,	1015840,	35569.0,	40586.0,	50176,	64.0,	35568.0,	823824,	0.0,	35519.0,	1107456,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	21025.0,	21025.0,	9,	64.0,	21024.0,	25920,	0.0,	20983.0,	101664,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	53316.0,	2097152,	71137.0,	76154.0,	50176,	64.0,	71136.0,	1647648,	0.0,	71087.0,	2214912,	
