IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	2.273810793921751,	0.013168523570742711,	6.0092362561155905,	7.738549938272546,	18.01211687064669,
524288,	524288,	262144,	Conv2,	1.8997874968645139,	0.25897932235637106,	0.0572669919684227,	17.015348500409388,	18.60609301863307,
524288,	524288,	262144,	Conv3,	4.4899721479625505,	0.02290802116307424,	8.979944295925101,	9.120255925548932,	17.959888591850202,
524288,	524288,	262144,	Conv4,	5.863884719747436,	0.20441690757321465,	0.022365492817164868,	13.294551692014226,	13.030646270323023,
524288,	524288,	262144,	Conv5,	2.850058931284702,	0.11632893597080417,	5.700117862569404,	8.683773306258077,	8.550176793854106,
524288,	524288,	262144,	Conv6,	2.018089037480204,	0.2664186420653076,	0.01466026495060456,	17.42562529850934,	17.06129056584802,
524288,	524288,	262144,	Conv7,	3.9665214083143114,	0.2226108953645787,	4.047460943289954,	12.085494915957668,	11.899564224942933,
524288,	524288,	262144,	Conv8,	4.866583713535186,	0.17374910448323969,	0.009162550431733344,	10.905471136080841,	10.499604087327024,
524288,	524288,	262144,	Conv9,	2.4103955996445126,	0.8239617611029711,	4.820791199289025,	12.842120433310114,	12.015084188023923,
524288,	524288,	262144,	Conv10,	2.109054989859504,	0.2663219948929731,	0.007103601189537951,	16.903502411651587,	16.241102109012957,
524288,	524288,	262144,	Conv11,	3.175997721302655,	1.0856726904452954,	3.175997721302655,	16.921100104440296,	15.831376396493338,
524288,	524288,	262144,	Conv12,	4.836322172696175,	0.17912304343319166,	0.004379599875608997,	10.451642997823157,	9.368508344563077,
524288,	524288,	262144,	Conv13,	1.4659343227766741,	3.8518172256631997,	2.9318686455533483,	17.052705387402128,	13.16536169218184,
524288,	524288,	262144,	Conv14,	2.0877525121185014,	0.28759856034285475,	0.002995818336904737,	14.384421744648096,	12.870035575342751,
524288,	524288,	262144,	Conv15,	1.7177678877096885,	4.513522766175967,	1.7177678877096885,	19.982197877439233,	15.427045532351935,
524288,	524288,	262144,	Conv16,	2.0877525121185014,	0.28759856034285475,	0.002995818336904737,	14.384421744648096,	12.870035575342751,
524288,	524288,	262144,	Conv17,	1.7177678877096885,	4.513522766175967,	1.7177678877096885,	19.982197877439233,	15.427045532351935,
524288,	524288,	262144,	Conv18,	2.0877525121185014,	0.28759856034285475,	0.002995818336904737,	14.384421744648096,	12.870035575342751,
524288,	524288,	262144,	Conv19,	1.7177678877096885,	4.513522766175967,	1.7177678877096885,	19.982197877439233,	15.427045532351935,
524288,	524288,	262144,	Conv20,	2.0877525121185014,	0.28759856034285475,	0.002995818336904737,	14.384421744648096,	12.870035575342751,
524288,	524288,	262144,	Conv21,	1.7177678877096885,	4.513522766175967,	1.7177678877096885,	19.982197877439233,	15.427045532351935,
524288,	524288,	262144,	Conv22,	2.0877525121185014,	0.28759856034285475,	0.002995818336904737,	14.384421744648096,	12.870035575342751,
524288,	524288,	262144,	Conv23,	1.7177678877096885,	4.513522766175967,	1.7177678877096885,	19.982197877439233,	15.427045532351935,
524288,	524288,	262144,	Conv24,	4.228096750549719,	0.22516491570974836,	0.001759100903982409,	8.559784998778403,	4.686244808209137,
524288,	524288,	262144,	Conv25,	0.37418527301743554,	7.8197085626500815,	0.7483705460348711,	8.323713216102137,	6.273449967932943,
524288,	524288,	262144,	Conv26,	2.0275588960278013,	0.3724087768214329,	0.0003636804461146806,	4.102315432173596,	0.52369984240514,
524288,	524288,	262144,	Conv27,	0.6546374939658434,	13.680587629000483,	0.6546374939658434,	14.562344253525904,	10.975406734771093,
