IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	1.818200653244284,	0.010529907863306195,	4.805147954955394,	16.813155072393116,	4.805147954955394,
524288,	524288,	262144,	Conv2,	1.5476269422061149,	0.0011103828507537494,	0.04665150171569572,	15.116763696649574,	0.04665150171569572,
524288,	524288,	262144,	Conv3,	2.41396148803868,	0.012316130041013675,	4.82792297607736,	19.915272482349685,	4.82792297607736,
524288,	524288,	262144,	Conv4,	4.854262940414191,	0.0035208684808919533,	0.01849067214357319,	12.009682388322453,	0.01849067214357319,
524288,	524288,	262144,	Conv5,	1.4947123834490155,	0.061008668712204714,	2.989424766898031,	24.662866037117578,	2.989424766898031,
524288,	524288,	262144,	Conv6,	1.5976310636333244,	0.004585038129049719,	0.011605877764157101,	15.04810707974464,	0.011605877764157101,
524288,	524288,	262144,	Conv7,	1.5760155164155196,	0.06432716393532732,	1.5760155164155196,	26.0043149141336,	1.5760155164155196,
524288,	524288,	262144,	Conv8,	4.118491730043078,	0.012253363824921554,	0.007754081795458172,	10.109025155560284,	0.007754081795458172,
524288,	524288,	262144,	Conv9,	0.7703740097033717,	0.2515506970459989,	1.5407480194067433,	25.422457470982007,	1.5407480194067433,
524288,	524288,	262144,	Conv10,	1.6835606556276947,	0.019326589158991395,	0.005670474944217961,	14.726886103981077,	0.005670474944217961,
524288,	524288,	262144,	Conv11,	0.8340044296512377,	0.27232797702897554,	0.8340044296512377,	27.522208509418203,	0.8340044296512377,
524288,	524288,	262144,	Conv12,	4.029885553876053,	0.04975167350464262,	0.0036493198013388037,	9.602072986396026,	0.0036493198013388037,
524288,	524288,	262144,	Conv13,	0.3872650793038243,	1.0116312275691737,	0.7745301586076486,	26.36575464052792,	0.7745301586076486,
524288,	524288,	262144,	Conv14,	1.9471457953354807,	0.08940975590826186,	0.002794054872133183,	14.484671504520936,	0.002794054872133183,
524288,	524288,	262144,	Conv15,	0.4027483464971425,	1.0520773132986578,	0.4027483464971425,	27.419825178193026,	0.4027483464971425,
524288,	524288,	262144,	Conv16,	1.9471457953354807,	0.08940975590826186,	0.002794054872133183,	14.484671504520936,	0.002794054872133183,
524288,	524288,	262144,	Conv17,	0.4027483464971425,	1.0520773132986578,	0.4027483464971425,	27.419825178193026,	0.4027483464971425,
524288,	524288,	262144,	Conv18,	1.9471457953354807,	0.08940975590826186,	0.002794054872133183,	14.484671504520936,	0.002794054872133183,
524288,	524288,	262144,	Conv19,	0.4027483464971425,	1.0520773132986578,	0.4027483464971425,	27.419825178193026,	0.4027483464971425,
524288,	524288,	262144,	Conv20,	1.9471457953354807,	0.08940975590826186,	0.002794054872133183,	14.484671504520936,	0.002794054872133183,
524288,	524288,	262144,	Conv21,	0.4027483464971425,	1.0520773132986578,	0.4027483464971425,	27.419825178193026,	0.4027483464971425,
524288,	524288,	262144,	Conv22,	1.9471457953354807,	0.08940975590826186,	0.002794054872133183,	14.484671504520936,	0.002794054872133183,
524288,	524288,	262144,	Conv23,	0.4027483464971425,	1.0520773132986578,	0.4027483464971425,	27.419825178193026,	0.4027483464971425,
524288,	524288,	262144,	Conv24,	3.848425547055684,	0.20494573919231454,	0.0016011385874399574,	8.60785447429283,	0.0016011385874399574,
524288,	524288,	262144,	Conv25,	0.13306883639025321,	2.7808671115024346,	0.26613767278050643,	20.3351703141078,	0.26613767278050643,
524288,	524288,	262144,	Conv26,	3.5228533314610684,	0.6470546935336656,	0.0006318893491539703,	7.118163308291792,	0.0006318893491539703,
524288,	524288,	262144,	Conv27,	0.15699329799816023,	3.3321026513895236,	0.15699329799816023,	23.99118602279056,	0.15699329799816023,
