Layer,	Cycles,	% Utilization,
Conv1,	42027,	98.93810823994099,
Conv2,	218020,	6.2437111272412045,
Conv3,	100367,	99.97976177428836,
Conv4,	111168,	6.122490284974093,
Conv5,	100367,	99.97976177428836,
Conv6,	210820,	6.224285554195779,
Conv7,	200719,	99.98988013092931,
Conv8,	55296,	5.9326171875,
Conv9,	100367,	99.97976177428836,
Conv10,	99076,	6.1407787660862985,
Conv11,	200719,	99.98988013092931,
Conv12,	27648,	5.501302083333334,
Conv13,	106511,	94.21496811362206,
Conv14,	41488,	6.246610383975703,
Conv15,	213007,	94.22286811583656,
Conv16,	41488,	6.246610383975703,
Conv17,	213007,	94.22286811583656,
Conv18,	41488,	6.246610383975703,
Conv19,	213007,	94.22286811583656,
Conv20,	41488,	6.246610383975703,
Conv21,	213007,	94.22286811583656,
Conv22,	41488,	6.246610383975703,
Conv23,	213007,	94.22286811583656,
Conv24,	13828,	4.686313462790193,
Conv25,	131088,	76.55171279379344,
Conv26,	9225,	3.511051333477884,
Conv27,	262160,	76.55710608828993,
