Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	110659.0,	179649.0,	394272,	34.0,	166435.0,	394272,	0.0,	167946.0,	2842135,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	435748.0,	436957.0,	12100,	288.0,	435747.0,	12100,	0.0,	435746.0,	4356291,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	131073.0,	421035.0,	802816,	39.0,	401373.0,	802816,	0.0,	401414.0,	6823943,	
Conv4,	-52429.0,	135418.0,	795126,	-58.0,	-1.0,	576,	218305.0,	218607.0,	3025,	576.0,	218304.0,	3025,	0.0,	222335.0,	2187072,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	262089.0,	415245.0,	401408,	71.0,	401317.0,	401408,	0.0,	401414.0,	6823943,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	420484.0,	420775.0,	2916,	1152.0,	420483.0,	2916,	0.0,	420482.0,	4200195,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	524233.0,	816653.0,	401408,	135.0,	802725.0,	401408,	0.0,	802822.0,	13647879,	
Conv8,	-38720.0,	-1.0,	387200,	-116.0,	-1.0,	1152,	105985.0,	106057.0,	729,	1152.0,	105984.0,	729,	0.0,	109439.0,	1058688,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	401206.0,	421276.0,	200704,	135.0,	401205.0,	200704,	0.0,	401414.0,	6823943,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	195844.0,	195911.0,	676,	2304.0,	195843.0,	676,	0.0,	195842.0,	1949187,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	802614.0,	822684.0,	200704,	263.0,	802613.0,	200704,	0.0,	802822.0,	13647879,	
Conv12,	-18663.0,	-1.0,	186624,	-231.0,	-1.0,	2304,	50689.0,	50705.0,	169,	2304.0,	50688.0,	169,	0.0,	52991.0,	495360,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	409422.0,	419457.0,	100352,	263.0,	409421.0,	100352,	0.0,	409606.0,	6897671,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	82952.0,	82966.0,	144,	4608.0,	82951.0,	144,	0.0,	82950.0,	829447,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	819022.0,	829057.0,	100352,	519.0,	819021.0,	100352,	0.0,	819206.0,	13795335,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	82952.0,	82966.0,	144,	4608.0,	82951.0,	144,	0.0,	82950.0,	829447,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	819022.0,	829057.0,	100352,	519.0,	819021.0,	100352,	0.0,	819206.0,	13795335,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	82952.0,	82966.0,	144,	4608.0,	82951.0,	144,	0.0,	82950.0,	829447,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	819022.0,	829057.0,	100352,	519.0,	819021.0,	100352,	0.0,	819206.0,	13795335,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	82952.0,	82966.0,	144,	4608.0,	82951.0,	144,	0.0,	82950.0,	829447,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	819022.0,	829057.0,	100352,	519.0,	819021.0,	100352,	0.0,	819206.0,	13795335,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	82952.0,	82966.0,	144,	4608.0,	82951.0,	144,	0.0,	82950.0,	829447,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	819022.0,	829057.0,	100352,	519.0,	819021.0,	100352,	0.0,	819206.0,	13795335,	
Conv24,	-8653.0,	-1.0,	86528,	-461.0,	-1.0,	4608,	23044.0,	23047.0,	36,	4608.0,	23043.0,	36,	0.0,	27647.0,	221184,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	458760.0,	463777.0,	50176,	519.0,	458759.0,	50176,	0.0,	458758.0,	7340039,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	18433.0,	18433.0,	9,	9216.0,	18432.0,	9,	0.0,	18431.0,	119808,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	466943.0,	1056768,	917512.0,	922529.0,	50176,	1031.0,	917511.0,	50176,	0.0,	917510.0,	14680071,	
