Layer,	DRAM_IFMAP_start,	DRAM_IFMAP_stop,	DRAM_IFMAP_bytes,	DRAM_Filter_start,	DRAM_Filter_stop,	DRAM_Filter_bytes,	DRAM_OFMAP_start,	DRAM_OFMAP_stop,	DRAM_OFMAP_bytes,	SRAM_read_start,	SRAM_read_stop,	SRAM_read_bytes,	SRAM_write_start,	SRAM_write_stop,	SRAM_write_bytes,
Conv1,	-14919.0,	-1.0,	149187,	-87.0,	-1.0,	864,	8278.0,	47706.0,	394272,	86.0,	12406.0,	394272,	0.0,	12347.0,	345879,	
Conv2,	-40141.0,	-1.0,	401408,	-29.0,	-1.0,	288,	36879.0,	38088.0,	12100,	257.0,	36878.0,	36300,	0.0,	36845.0,	3521676,	
Conv3,	-40141.0,	-1.0,	401408,	-205.0,	-1.0,	2048,	4224.0,	40280.0,	802816,	128.0,	12671.0,	802816,	0.0,	12575.0,	416032,	
Conv4,	-52429.0,	12894.0,	1248128,	-58.0,	-1.0,	576,	16282.0,	16584.0,	3025,	257.0,	16281.0,	15125,	0.0,	16271.0,	1790632,	
Conv5,	-20071.0,	-1.0,	200704,	-820.0,	-1.0,	8192,	2304.0,	42446.0,	401408,	256.0,	3391.0,	401408,	0.0,	3199.0,	212096,	
Conv6,	-40141.0,	-1.0,	401408,	-116.0,	-1.0,	1152,	28557.0,	28848.0,	2916,	257.0,	28556.0,	26244,	0.0,	28427.0,	3387780,	
Conv7,	-40141.0,	-1.0,	401408,	-1639.0,	-1.0,	16384,	2432.0,	42574.0,	401408,	384.0,	3519.0,	401408,	0.0,	3263.0,	421056,	
Conv8,	-30452.0,	-1.0,	304512,	-116.0,	-1.0,	1152,	8874.0,	8946.0,	729,	257.0,	8873.0,	6561,	0.0,	8771.0,	880020,	
Conv9,	-10036.0,	-1.0,	100352,	-3277.0,	-1.0,	32768,	2336.0,	22406.0,	200704,	384.0,	2335.0,	200704,	0.0,	2079.0,	235296,	
Conv10,	-20071.0,	-1.0,	200704,	-231.0,	-1.0,	2304,	16794.0,	16861.0,	676,	257.0,	16793.0,	12168,	0.0,	16664.0,	1574280,	
Conv11,	-20071.0,	-1.0,	200704,	-6554.0,	-1.0,	65536,	4672.0,	24742.0,	200704,	384.0,	4671.0,	401408,	0.0,	4415.0,	470592,	
Conv12,	-15386.0,	-1.0,	153856,	-231.0,	-1.0,	2304,	7668.0,	7684.0,	169,	257.0,	7667.0,	3042,	0.0,	7551.0,	427212,	
Conv13,	-5018.0,	-1.0,	50176,	-13108.0,	-1.0,	131072,	4640.0,	14675.0,	100352,	384.0,	4639.0,	200704,	0.0,	4383.0,	334368,	
Conv14,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	14436.0,	14450.0,	144,	257.0,	14435.0,	5184,	0.0,	14306.0,	677952,	
Conv15,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	9280.0,	19315.0,	100352,	384.0,	9279.0,	401408,	0.0,	9023.0,	668736,	
Conv16,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	14436.0,	14450.0,	144,	257.0,	14435.0,	5184,	0.0,	14306.0,	677952,	
Conv17,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	9280.0,	19315.0,	100352,	384.0,	9279.0,	401408,	0.0,	9023.0,	668736,	
Conv18,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	14436.0,	14450.0,	144,	257.0,	14435.0,	5184,	0.0,	14306.0,	677952,	
Conv19,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	9280.0,	19315.0,	100352,	384.0,	9279.0,	401408,	0.0,	9023.0,	668736,	
Conv20,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	14436.0,	14450.0,	144,	257.0,	14435.0,	5184,	0.0,	14306.0,	677952,	
Conv21,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	9280.0,	19315.0,	100352,	384.0,	9279.0,	401408,	0.0,	9023.0,	668736,	
Conv22,	-10036.0,	-1.0,	100352,	-461.0,	-1.0,	4608,	14436.0,	14450.0,	144,	257.0,	14435.0,	5184,	0.0,	14306.0,	677952,	
Conv23,	-10036.0,	-1.0,	100352,	-26215.0,	-1.0,	262144,	9280.0,	19315.0,	100352,	384.0,	9279.0,	401408,	0.0,	9023.0,	668736,	
Conv24,	-7834.0,	-1.0,	78336,	-461.0,	-1.0,	4608,	10548.0,	10551.0,	36,	257.0,	10547.0,	1296,	0.0,	10424.0,	204264,	
Conv25,	-2509.0,	-1.0,	25088,	-52429.0,	-1.0,	524288,	13856.0,	18873.0,	50176,	384.0,	13855.0,	200704,	0.0,	13599.0,	730656,	
Conv26,	-5018.0,	-1.0,	50176,	-922.0,	-1.0,	9216,	19152.0,	19152.0,	9,	257.0,	19151.0,	648,	0.0,	19022.0,	102024,	
Conv27,	-5018.0,	-1.0,	50176,	-52429.0,	13797.0,	1048576,	27712.0,	32729.0,	50176,	384.0,	27711.0,	401408,	0.0,	27455.0,	1461312,	
