IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
524288,	524288,	262144,	Conv1,	2.3822275449101795,	0.013796407185628742,	6.295760479041916,	5.523017964071856,	6.295760479041916,
524288,	524288,	262144,	Conv2,	3.9188136404018317,	0.0028116488172525897,	0.11812830100262615,	34.61721549140397,	0.5906415050131308,
524288,	524288,	262144,	Conv3,	4.9913331095111975,	0.02546598525260815,	9.982666219022395,	5.173176160455602,	9.982666219022395,
524288,	524288,	262144,	Conv4,	16.219929238014227,	0.00710085432153556,	0.037291813060147685,	22.226561633196493,	0.3356263175413292,
524288,	524288,	262144,	Conv5,	3.1024547084647254,	0.12663080442713165,	6.204909416929451,	6.430470537315278,	6.204909416929451,
524288,	524288,	262144,	Conv6,	4.2146112009407615,	0.012095504084332543,	0.03061674471346675,	35.84578232292476,	0.5511014048424014,
524288,	524288,	262144,	Conv7,	4.259965190813771,	0.17387613023729678,	4.911321475569895,	8.829647238612727,	8.519930381627542,
524288,	524288,	262144,	Conv8,	6.624434389140271,	0.025060911938739994,	0.015858858336233902,	19.29220327184128,	0.28545945005221024,
524288,	524288,	262144,	Conv9,	2.6468323046895605,	0.8642717729598565,	5.293664609379121,	11.630532257213694,	10.587329218758242,
524288,	524288,	262144,	Conv10,	4.08615985992915,	0.04690744737163565,	0.013762775357302822,	32.298709230831875,	0.4954599128629016,
524288,	524288,	262144,	Conv11,	3.5996197786824973,	1.17538605018204,	3.5996197786824973,	15.817206808113779,	14.398479114729989,
524288,	524288,	262144,	Conv12,	5.888097971680061,	0.08817451205510907,	0.006467661691542288,	16.474856486796785,	0.23283582089552238,
524288,	524288,	262144,	Conv13,	1.4110633032424984,	3.6860429145926488,	2.822126606484997,	15.208526673978458,	11.288506425939987,
524288,	524288,	262144,	Conv14,	3.378172759711843,	0.15512017774187034,	0.004847505554433448,	22.996566350232275,	0.34902039991920825,
524288,	524288,	262144,	Conv15,	1.6429062571625028,	4.291673488097967,	1.6429062571625028,	17.707344225794834,	13.143250057300023,
524288,	524288,	262144,	Conv16,	3.378172759711843,	0.15512017774187034,	0.004847505554433448,	22.996566350232275,	0.34902039991920825,
524288,	524288,	262144,	Conv17,	1.6429062571625028,	4.291673488097967,	1.6429062571625028,	17.707344225794834,	13.143250057300023,
524288,	524288,	262144,	Conv18,	3.378172759711843,	0.15512017774187034,	0.004847505554433448,	22.996566350232275,	0.34902039991920825,
524288,	524288,	262144,	Conv19,	1.6429062571625028,	4.291673488097967,	1.6429062571625028,	17.707344225794834,	13.143250057300023,
524288,	524288,	262144,	Conv20,	3.378172759711843,	0.15512017774187034,	0.004847505554433448,	22.996566350232275,	0.34902039991920825,
524288,	524288,	262144,	Conv21,	1.6429062571625028,	4.291673488097967,	1.6429062571625028,	17.707344225794834,	13.143250057300023,
524288,	524288,	262144,	Conv22,	3.378172759711843,	0.15512017774187034,	0.004847505554433448,	22.996566350232275,	0.34902039991920825,
524288,	524288,	262144,	Conv23,	1.6429062571625028,	4.291673488097967,	1.6429062571625028,	17.707344225794834,	13.143250057300023,
524288,	524288,	262144,	Conv24,	3.973018207638079,	0.23370695339047523,	0.0018258355733630877,	10.436476137343409,	0.1314601612821423,
524288,	524288,	262144,	Conv25,	0.2841416177769724,	5.937979930686117,	0.5682832355539448,	10.648062155978888,	4.546265884431558,
524288,	524288,	262144,	Conv26,	2.0159100040176776,	0.3702691844114102,	0.0003615910004017678,	4.125030132583367,	0.05206910405785456,
524288,	524288,	262144,	Conv27,	0.42114451662721797,	8.801060918903493,	0.42114451662721797,	15.782175890953653,	6.7383122660354875,
