Layer,	Cycles,	% Utilization,
Conv1,	199020,	84.37971058185107,
Conv2,	436212,	12.5,
Conv3,	402176,	100.0,
Conv4,	222336,	12.5,
Conv5,	404480,	100.0,
Conv6,	422352,	12.5,
Conv7,	808960,	100.0,
Conv8,	110016,	12.5,
Conv9,	413696,	100.0,
Conv10,	199584,	12.5,
Conv11,	827392,	100.0,
Conv12,	54720,	12.5,
Conv13,	450560,	100.0,
Conv14,	92736,	12.5,
Conv15,	901120,	100.0,
Conv16,	92736,	12.5,
Conv17,	901120,	100.0,
Conv18,	92736,	12.5,
Conv19,	901120,	100.0,
Conv20,	92736,	12.5,
Conv21,	901120,	100.0,
Conv22,	92736,	12.5,
Conv23,	901120,	100.0,
Conv24,	30528,	12.5,
Conv25,	598016,	100.0,
Conv26,	29952,	12.5,
Conv27,	1196032,	100.0,
